iter	Passed	Remaining
0	169	169064
1	170	85270
2	173	57618
3	174	43563
4	176	35126
5	178	29490
6	179	25489
7	181	22478
8	182	20129
9	184	18238
10	185	16700
11	187	15445
12	189	14377
13	190	13450
14	192	12638
15	193	11926
16	195	11315
17	197	10760
18	198	10264
19	200	9821
20	202	9442
21	204	9079
22	205	8745
23	207	8434
24	209	8154
25	210	7895
26	212	7653
27	214	7432
28	215	7225
29	217	7044
30	219	6863
31	221	6690
32	222	6525
33	224	6368
34	225	6225
35	227	6088
36	228	5957
37	230	5836
38	232	5737
39	234	5639
40	236	5531
41	238	5432
42	239	5341
43	242	5258
44	243	5170
45	245	5087
46	247	5028
47	249	4952
48	251	4876
49	253	4807
50	254	4737
51	256	4667
52	257	4602
53	259	4539
54	260	4478
55	262	4431
56	264	4375
57	265	4319
58	267	4266
59	269	4214
60	270	4167
61	272	4125
62	274	4083
63	276	4038
64	280	4028
65	281	3988
66	283	3946
67	285	3906
68	286	3868
69	288	3826
70	289	3789
71	291	3752
72	293	3722
73	294	3691
74	296	3658
75	298	3626
76	299	3593
77	301	3562
78	302	3531
79	304	3500
80	305	3471
81	307	3447
82	308	3412
83	310	3384
84	311	3357
85	313	3332
86	315	3307
87	316	3281
88	318	3259
89	320	3235
90	321	3212
91	323	3196
92	325	3173
93	326	3151
94	328	3128
95	330	3108
96	331	3086
97	332	3064
98	334	3044
99	336	3024
100	337	3005
101	339	2986
102	340	2967
103	342	2948
104	343	2930
105	345	2913
106	346	2895
107	348	2877
108	349	2860
109	351	2843
110	353	2827
111	354	2812
112	356	2797
113	357	2781
114	359	2766
115	360	2750
116	362	2732
117	363	2718
118	365	2702
119	366	2689
120	368	2675
121	369	2660
122	371	2648
123	372	2634
124	374	2620
125	375	2607
126	377	2593
127	378	2579
128	380	2567
129	381	2553
130	383	2541
131	384	2530
132	386	2518
133	388	2507
134	389	2497
135	391	2485
136	392	2473
137	394	2462
138	395	2452
139	397	2441
140	398	2430
141	400	2417
142	401	2407
143	403	2397
144	404	2386
145	406	2376
146	408	2369
147	409	2359
148	411	2348
149	412	2339
150	414	2331
151	416	2321
152	417	2311
153	419	2301
154	420	2293
155	422	2284
156	423	2276
157	425	2267
158	427	2261
159	429	2254
160	430	2243
161	431	2234
162	433	2226
163	434	2217
164	436	2209
165	438	2200
166	439	2192
167	441	2186
168	443	2179
169	444	2172
170	446	2165
171	448	2158
172	449	2150
173	451	2143
174	453	2136
175	454	2128
176	456	2120
177	458	2115
178	459	2108
179	461	2102
180	463	2095
181	464	2087
182	466	2080
183	467	2073
184	468	2065
185	470	2058
186	472	2052
187	473	2046
188	475	2039
189	477	2033
190	478	2026
191	479	2019
192	481	2012
193	482	2005
194	484	1998
195	485	1992
196	487	1986
197	489	1981
198	490	1976
199	492	1969
200	493	1963
201	495	1957
202	497	1951
203	498	1945
204	500	1940
205	501	1934
206	503	1928
207	505	1923
208	506	1917
209	508	1912
210	509	1906
211	511	1900
212	512	1895
213	514	1889
214	515	1883
215	517	1877
216	519	1872
217	520	1867
218	522	1862
219	523	1856
220	525	1851
221	527	1847
222	528	1841
223	530	1837
224	532	1832
225	534	1828
226	535	1823
227	537	1818
228	538	1814
229	540	1809
230	542	1805
231	544	1801
232	545	1797
233	548	1796
234	550	1791
235	552	1787
236	553	1782
237	554	1776
238	556	1771
239	558	1767
240	559	1762
241	561	1759
242	563	1754
243	564	1750
244	566	1745
245	567	1740
246	569	1735
247	570	1730
248	572	1725
249	573	1721
250	575	1716
251	576	1712
252	578	1709
253	580	1705
254	582	1700
255	583	1695
256	584	1691
257	586	1686
258	587	1682
259	589	1677
260	591	1673
261	592	1669
262	594	1666
263	596	1662
264	597	1658
265	599	1653
266	600	1649
267	602	1645
268	604	1641
269	605	1637
270	607	1633
271	608	1629
272	610	1625
273	611	1621
274	613	1617
275	614	1612
276	616	1608
277	617	1604
278	619	1600
279	621	1597
280	623	1594
281	625	1591
282	626	1587
283	628	1583
284	629	1579
285	631	1575
286	632	1572
287	634	1568
288	636	1565
289	637	1561
290	639	1557
291	641	1554
292	642	1550
293	644	1546
294	645	1542
295	646	1538
296	648	1535
297	650	1531
298	651	1528
299	653	1524
300	654	1520
301	656	1517
302	658	1514
303	659	1510
304	661	1506
305	662	1503
306	664	1499
307	665	1495
308	667	1493
309	669	1490
310	671	1487
311	672	1483
312	674	1479
313	675	1476
314	677	1472
315	678	1469
316	680	1465
317	682	1463
318	683	1459
319	685	1456
320	686	1452
321	688	1448
322	689	1445
323	690	1441
324	692	1438
325	693	1434
326	695	1431
327	697	1428
328	698	1425
329	700	1421
330	701	1418
331	703	1415
